feature_id,parent_feature_id,dimension_id,phase_id,scope,name,description,detailed_description,dev_prompt
FIN_00,,DIM_FINANCE,PH_1_INVEST,GLOBAL,Profitability Suite,Financial Intelligence Command Center,"An advanced multi-dimensional financial hub. TIER 3 transforms it into a predictive command center.","1. Pedagogical Objective: Strategic vision over simple math. This suite teaches the 'Portfolio mindset,' showing how macro-trends and micro-decisions intersect. 2. Behavior Matrix: TIER_0 (Beginner): Static Sandbox with sample data. TIER_1 (Bronze): Single-property live dashboard. TIER_2 (Silver): Multi-property consolidation (up to 5 assets) with historical trend tracking. TIER_3 (Gold): Unlimited Portfolio Command Center with 'Global Risk' scoring and 10-year market cycle simulations. 3. User Journey & UI: Input: Financial goals and asset types. Logic: Aggregation of sub-modules. Output: Heat map showing ROI and Equity growth. Coach: 'Diversification' tooltip. 4. Business Logic: RG-01: Tier 0 locks 'Consolidated View'. RG-02: TIER_2 enables 'Custom Tags' for property grouping. RG-03: TIER_3 allows 'Stress Test' simulations.","Functional Specification: Build a micro-service architecture for a Financial Intelligence Hub. TIER_0: UI-only mockups with hardcoded values. TIER_1 (Starter): Implement a single-unit reactive state for real-time ROI/Cap Rate tracking. TIER_2 (Advanced): Develop a 'Portfolio Aggregator' that merges data from multiple property IDs into a unified view with time-series charts (12-month trailing). TIER_3 (Expert): Architect a 'Simulation Engine' that allows users to adjust global variables (e.g., +2% inflation across the portfolio) and observe the delta in 10-year NPV (Net Present Value). Use public macro-data from central bank APIs for baseline trends."
FIN_01,FIN_00,DIM_FINANCE,PH_1_INVEST,GLOBAL,ROI Simulator,Real-time Yield & Cashflow Engine,"A high-precision engine calculating net cash flow with real-time adjustments.","1. Pedagogical Objective: Beginners confuse revenue with profit. This tool focuses on net monthly liquidity. 2. Behavior Matrix: TIER_0 (Beginner): 3-field manual simulator. TIER_1 (Bronze): Full expense itemization (fixed charges). TIER_2 (Silver): Sensitivity Analysis (Optimistic/Pessimistic scenarios) and 5-year projection. TIER_3 (Gold): Real-time Ingestion via public bank APIs and national rental indices. 3. User Journey & UI: Input: Price, Rent, Loan. Logic: Net Cash-flow = Rent - (Loan + Charges + Reserves). Output: 'Traffic Light' visual. Coach: 10% maintenance provision alert. 4. Business Logic: RG-01: TIER_1 required to save simulations. RG-02: TIER_2 required for 'Scenario Comparison' view. RG-03: TIER_3 auto-populates vacancy rates based on public regional stats.","Functional Specification: Implement a high-precision calculation engine (decimal.js). TIER_0: Stateless 3-input UI. TIER_1: Add persistent storage for a detailed expense tree (Condo fees, insurance, etc.). TIER_2: Develop a 'Sensitivity Slider' UI allowing users to see how occupancy changes (e.g., 65% to 85%) impact the break-even date. TIER_3: Build a 'Market Connector' that fetches public data from national statistics offices (e.g., INSEE, ONS) to auto-fill the 'Estimated Vacancy' and 'Market Appreciation' fields based on the property's zip code."
FIN_02,FIN_00,DIM_FINANCE,PH_1_INVEST,GLOBAL,Renovation Budget,Smart Capex & Furnishing Planner,"A strategic Capex tool to prevent budget overruns.","1. Pedagogical Objective: Renovation creep kills profit. Teaches 'Dependency Management' and budgeting. 2. Behavior Matrix: TIER_0 (Beginner): Generic room-by-room PDF. TIER_1 (Bronze): Interactive tracker for a single project. TIER_2 (Silver): Quote Comparison Engine (3 quotes per task) and variance tracking. TIER_3 (Gold): AI Quote Auditor comparing against public labor cost indices. 3. User Journey & UI: Input: Dimensions + Finish level. Logic: Dynamic total + 15% buffer. Output: Spend-per-room chart. Coach: Focus on 'Hero Amenities'. 4. Business Logic: RG-01: TIER_2 required for 'Vendor Management'. RG-02: TIER_3 triggers 'Cost Anomaly' alerts.","Functional Specification: Resource management system. TIER_1: CRUD for renovation tasks with Estimated vs. Actual cost tracking. TIER_2: Implement a 'Quote Matrix'—users input three artisan quotes per task, and the system highlights the median and best value. TIER_3: Integrate a 'Benchmark Engine' that pulls public construction cost indices. If a user enters a painting quote >25% above the public average for that region, trigger a 'Negotiation Required' alert. All data must be linked to FIN_01 to recalculate ROI in real-time."
FIN_03,FIN_00,DIM_FINANCE,PH_1_INVEST,LOC_PROPERTY,LMNP Tax Simulator,French Fiscal Strategy Optimizer,"Specialized French tax simulator (Micro-BIC vs. Réel).","1. Pedagogical Objective: Tax as a yield booster. Teaches the power of depreciation. 2. Behavior Matrix: TIER_0 (Beginner): Static theory guide. TIER_1 (Bronze): Annual comparison simulator. TIER_2 (Silver): Component-based depreciation (Amortissement par composants) and 5-year tax-loss carryforward. TIER_3 (Gold): 15-year roadmap with 'Regime Switch' alerts. 3. User Journey & UI: Input: Price, fees, renos. Logic: Component-based depreciation rules. Output: Cumulative tax savings. Coach: 'Ghost Expense' concept. 4. Business Logic: RG-01: French scope only. RG-02: TIER_2 required for component breakdown. RG-03: TIER_3 predicts the 'Fiscal Pivot' year.","Functional Specification: Logic engine for LMNP (Loueur en Meublé Non Professionnel). TIER_1: Simple two-regime calculation. TIER_2: Implement 'Component Amortization' logic (Structure: 40y, Roof: 15y, Furniture: 7y). TIER_3: Build a 'Fiscal Pivot Optimizer'—the system analyzes the depreciation curve and alerts the user 12 months before they should switch from 'Réel' to 'Micro-BIC' (or vice-versa) to maintain zero taxation. Ensure the logic uses public French tax schedules updated annually via a JSON config file."
FIN_04,FIN_00,DIM_FINANCE,PH_1_INVEST,LOC_HOST,Section 24 Simulator,UK Interest Relief Decision Matrix,"UK-specific interest relief analyzer.","1. Pedagogical Objective: Strategic structural shifts. Teaches the impact of high-rate tax on interest. 2. Behavior Matrix: TIER_0 (Beginner): Section 24 warning card. TIER_1 (Bronze): Basic tax impact calculator. TIER_2 (Silver): Multi-property Section 24 impact across a portfolio. TIER_3 (Gold): Individual vs. Ltd Co Decision Matrix with SDLT/CGT transition simulation. 3. User Journey & UI: Input: Global income, mortgage interest. Logic: Net benefit calculation. Output: Incorporation break-even point. Coach: LAYMAN explanation of HMRC rules. 4. Business Logic: RG-01: UK scope only. RG-02: TIER_3 requires full income profile.","Functional Specification: UK Tax Matrix. TIER_1: Calculate the restricted interest relief for a single property. TIER_2: Aggregate multiple property interest costs to show total portfolio tax liability under current Section 24 rules. TIER_3: Build an 'Incorporation Wizard' that simulates moving the portfolio to a Limited Company—calculating Stamp Duty (SDLT), Capital Gains Tax (CGT) 'Incorporation Relief', and ongoing Corporation Tax vs. Dividend Tax. Use public HMRC tax bands for current and future fiscal years."
FIN_09,FIN_00,DIM_FINANCE,PH_1_INVEST,LOC_PROPERTY,Non-Resident Tax Sim,Cross-Border Fiscal Compliance Agent,"Calculates tax for international owners.","1. Pedagogical Objective: Global mindset, local compliance. Teaches 'Double Taxation' protection. 2. Behavior Matrix: TIER_0 (Beginner): Directory of foreign tax rates. TIER_1 (Bronze): Basic liability estimator for one country. TIER_2 (Silver): Multi-country tax summary and Treaty eligibility check. TIER_3 (Gold): Automated form generator (e.g., ES Modelo 210) from financial data. 3. User Journey & UI: Input: Residency, Property location, Income. Logic: Apply Bilateral Treaty rules. Output: Quarterly tax due. Coach: 'Withholding Tax' explanation. 4. Business Logic: RG-01: Check Treaty DB. RG-02: TIER_3 for form generation.","Functional Specification: Multi-jurisdiction fiscal agent. TIER_1: Calculate tax due in the 'Property Country' based on gross/net income. TIER_2: Implement a 'Treaty Checker' that looks up public OECD/Government bilateral tax treaties to tell the user if they are eligible for a reduced rate. TIER_3: Build a 'Document Mapper'—extract data from the user's financial ledger and map it to specific coordinates on public tax forms (PDF). Use public ECB exchange rates to convert all figures to the local reporting currency."
LEG_00,,DIM_LEGAL,PH_1_INVEST,GLOBAL,Compliance Checker,Zoning & Regulatory Sentinel,"Compliance engine verifying property legality.","1. Pedagogical Objective: Proactive safety. Teaches zoning laws. 2. Behavior Matrix: TIER_0 (Beginner): Generic law database. TIER_1 (Bronze): City-level compliance audit. TIER_2 (Silver): Address-specific zoning check and License application tracker. TIER_3 (Gold): 'Sentinel' mode with automated public gazette monitoring and change alerts. 3. User Journey & UI: Input: Address. Logic: Geo-spatial check. Output: Legality Score. Coach: Moratoriums tooltip. 4. Business Logic: RG-01: TIER_3 for push alerts. RG-02: Zone restriction detection.","Functional Specification: Regulatory search engine. TIER_1: Manual city search in an internal DB of public regulations. TIER_2: Address-level lookup using public GIS (Geographic Information System) layers to determine if the property is in a 'Restricted Zone' or 'Saturation Zone'. TIER_3: Build a 'Sentinel Scraper'—asynchronously poll public municipal portals or official council gazettes. If the word 'Tourist', 'STR', or 'License' appears in a new decree for the user's city, trigger a 'High Risk' notification to the user."
LEG_01,LEG_00,DIM_LEGAL,PH_1_INVEST,GLOBAL,Regulatory Checklist,Adaptive Compliance Workflow,"Interactive compliance management.","1. Pedagogical Objective: Administrative discipline. Teaches professional operation. 2. Behavior Matrix: TIER_0 (Beginner): PDF Checklist. TIER_1 (Bronze): Single-unit interactive tracker. TIER_2 (Silver): Portfolio-wide compliance dashboard with document expiry tracking. TIER_3 (Gold): One-Click Audit Export (ZIP) and automated renewal workflows. 3. User Journey & UI: Input: Documents. Logic: Expiry validation. Output: Audit-Ready badge. Coach: Public Liability tip. 4. Business Logic: RG-01: Lock Launch phase if items missing. RG-02: TIER_2 for expiry alerts.","Functional Specification: Document lifecycle manager. TIER_1: Persistent checklist with 4 states (Missing, Pending, Valid, Expired). TIER_2: Develop an 'Expiration Monitor'—users set dates for insurance and safety certs; the system generates a 'Compliance Health Score' across the portfolio. TIER_3: Build an 'Audit Packager'—automatically collect all 'Valid' documents across all properties into a structured and timestamped ZIP file, ready for submission to a municipal inspector in one click."
LEG_02,LEG_00,DIM_LEGAL,PH_1_INVEST,LOC_PROPERTY,Zweckentfremdungsverbot,DE Anti-Misuse Ban Analyzer,"Specific analyzer for German 'Misuse Ban' laws.","1. Pedagogical Objective: Navigating bureaucracy. Teaches 'Primary Residence' exceptions. 2. Behavior Matrix: TIER_0 (Beginner): German city warning text. TIER_1 (Bronze): Interactive zone map (Berlin/Munich). TIER_2 (Silver): Permit probability score and local 'Registration Number' tracker. TIER_3 (Gold): Legal Drafting Assistant (Bescheid style) using open-source LLMs. 3. User Journey & UI: Input: Address + Intent. Logic: GIS mapping. Output: Permit probability. Coach: 'Primary Residence' exception. 4. Business Logic: RG-01: DE scope only. RG-02: TIER_3 for legal drafts.","Functional Specification: German zoning analyzer. TIER_1: Overlay public municipal GIS data onto a map showing 'Zweckentfremdung' zones. TIER_2: Implement a 'Status Tracker' for the German registration number (Registrierungsnummer)—if the user has a number, the system alerts them of the expiration date according to local city rules. TIER_3: Build a 'Legal Draft Agent' using an open-source LLM (Llama/Mistral)—trained on public German administrative Bescheid examples—to generate a formal permit request letter based on the user's specific case (e.g., temporary absence)."
LEG_08,LEG_00,DIM_LEGAL,PH_1_INVEST,LOC_PROPERTY,Foreign ID Assistant,International Admin Onboarding Agent,"Step-by-step guide for non-residents (NIE/Siret).","1. Pedagogical Objective: Breaking the entry barrier. Teaches administrative sequences. 2. Behavior Matrix: TIER_0 (Beginner): Required docs list. TIER_1 (Bronze): Interactive 'Stepper' for one ID type. TIER_2 (Silver): Multi-ID tracking and pre-filled letter templates for appointment requests. TIER_3 (Gold): Concierge Bridge with automated status polling for partner files. 3. User Journey & UI: Input: Personal PII. Logic: Country delta workflow. Output: Application tracker. Coach: 'What is a NIE?'. 4. Business Logic: RG-01: Non-residents only. RG-02: TIER_3 for status polling.","Functional Specification: Onboarding workflow. TIER_1: Guided stepper with 5 milestones (Document Prep, Appointment, Submission, Tax Payment, Collection). TIER_2: Implement a 'Document Generator' that maps user profile data onto public PDF application forms (e.g., EX-15 for Spain). TIER_3: If the user works with a partner concierge, implement a 'Status Bridge'—periodically check a partner-provided webhook or API to update the in-app progress bar so the user knows exactly where their file is (e.g., 'At Tax Office')."
